Planet Number,Epoch,T0 Observed,Model Prediction,CTT Residuals
0,1,1657.90355818509,1657.9048862785069,-0.001328093416759657
0,2,1666.2545069017785,1666.2548050267667,-0.0002981249881486292
0,3,1674.606459126036,1674.6047202697955,0.0017388562405358243
0,4,,1682.9546320075933,
0,5,,1691.30454024016,
0,6,,1699.6544449674957,
0,7,,1708.0043461896003,
0,8,,1716.3542439064738,
0,9,,1724.7041381181166,
0,10,,1733.054028824528,
0,11,,1741.4039160257084,
0,12,,1749.7537997216582,
0,13,,1758.1036799123765,
0,14,,1766.453556597864,
0,15,,1774.80342977812,
0,16,,1783.1532994531456,
0,17,,1791.50316562294,
0,18,,1799.853028287503,
0,19,,1808.2028874468353,
0,20,,1816.5527431009368,
0,21,,1824.9025952498068,
0,22,,1833.252443893446,
0,23,,1841.6022890318543,
0,24,,1849.952130665031,
0,25,,1858.3019687929773,
0,26,,1866.6518034156923,
0,27,,1875.0016345331762,
0,28,,1883.3514621454292,
0,29,,1891.701286252451,
0,30,,1900.051106854242,
0,31,,1908.4009239508016,
0,32,,1916.7507375421305,
0,33,,1925.1005476282285,
0,34,,1933.4503542090954,
0,35,,1941.8001572847309,
0,36,,1950.1499568551355,
0,37,,1958.4997529203092,
0,38,,1966.849545480252,
0,39,,1975.1993345349636,
0,40,,1983.549120084444,
0,41,,1991.8989021286934,
0,42,,2000.2486806677118,
0,43,,2008.5984557014995,
0,44,,2016.9482272300559,
0,45,,2025.2979952533813,
0,46,,2033.6477597714756,
0,47,2041.997884260778,2041.997520784339,0.0003634764389062184
0,48,2050.3468892857836,2050.347278291971,-0.0003890061875608808
0,49,,2058.6970322943725,
0,50,,2067.0467827915427,
0,51,,2075.396529783482,
0,52,,2083.74627327019,
0,53,,2092.096013251667,
0,54,,2100.445749727913,
0,55,,2108.7954826989285,
0,56,,2117.1452121647126,
0,57,,2125.494938125265,
0,58,,2133.844660580587,
0,59,,2142.194379530678,
0,60,,2150.544094975538,
0,61,,2158.893806915167,
0,62,,2167.243515349565,
0,63,,2175.5932202787317,
0,64,,2183.9429217026673,
0,65,,2192.292619621372,
0,66,,2200.6423140348456,
0,67,,2208.9920049430884,
0,68,,2217.3416923460995,
0,69,,2225.6913762438803,
0,70,,2234.04105663643,
0,71,,2242.3907335237486,
0,72,,2250.740406905836,
0,73,,2259.0900767826924,
0,74,,2267.439743154318,
0,75,,2275.7894060207122,
0,76,,2284.1390653818758,
0,77,,2292.488721237808,
0,78,,2300.8383735885095,
0,79,,2309.1880224339793,
0,80,,2317.5376677742183,
0,81,,2325.8873096092266,
0,82,,2334.236947939004,
0,83,,2342.5865827635503,
0,84,,2350.9362140828653,
0,85,,2359.2858418969495,
0,86,,2367.635466205802,
0,87,,2375.985087009424,
0,88,,2384.334704307815,
0,89,,2392.6843181009754,
0,90,,2401.033928388904,
0,91,,2409.3835351716016,
0,92,,2417.7331384490685,
0,93,,2426.0827382213047,
0,94,,2434.432334488309,
0,95,,2442.7819272500833,
0,96,,2451.1315165066258,
0,97,,2459.481102257937,
0,98,,2467.830684504018,
0,99,,2476.1802632448675,
0,100,,2484.529838480486,
0,101,,2492.879410210873,
0,102,,2501.22897843603,
0,103,,2509.5785431559552,
0,104,,2517.92810437065,
0,105,,2526.2776620801133,
0,106,,2534.6272162843456,
0,107,,2542.976766983347,
0,108,,2551.326314177117,
0,109,,2559.6758578656563,
0,110,,2568.0253980489647,
0,111,,2576.374934727042,
0,112,,2584.7244678998877,
0,113,,2593.073997567503,
0,114,,2601.423523729887,
0,115,,2609.7730463870403,
0,116,,2618.1225655389626,
0,117,,2626.4720811856537,
0,118,,2634.821593327113,
0,119,,2643.171101963342,
0,120,,2651.52060709434,
0,121,,2659.870108720107,
0,122,,2668.2196068406424,
0,123,,2676.5691014559475,
0,124,,2684.9185925660213,
0,125,,2693.268080170864,
0,126,,2701.6175642704757,
0,127,,2709.9670448648567,
0,128,,2718.316521954006,
0,129,,2726.665995537925,
0,130,,2735.015465616612,
0,131,,2743.3649321900684,
0,132,,2751.714395258294,
0,133,,2760.0638548212883,
0,134,,2768.413310879052,
0,135,,2776.762763431584,
0,136,,2785.112212478886,
0,137,,2793.4616580209563,
0,138,,2801.8111000577956,
0,139,,2810.1605385894036,
0,140,,2818.5099736157813,
0,141,,2826.859405136927,
0,142,,2835.208833152842,
0,143,,2843.558257663526,
0,144,,2851.907678668979,
0,145,,2860.2570961692013,
0,146,,2868.6065101641925,
0,147,,2876.9559206539525,
0,148,,2885.3053276384812,
0,149,,2893.6547311177796,
0,150,,2902.0041310918464,
0,151,,2910.3535275606823,
0,152,,2918.7029205242866,
0,153,,2927.0523099826605,
0,154,,2935.401695935803,
0,155,,2943.7510783837147,
0,156,,2952.100457326396,
0,157,,2960.4498327638453,
0,158,,2968.799204696064,
0,159,,2977.148573123052,
0,160,,2985.4979380448085,
0,161,,2993.847299461334,
0,162,,3002.1966573726286,
0,163,,3010.5460117786915,
0,164,,3018.895362679524,
0,165,,3027.244710075125,
0,166,,3035.5940539654957,
0,167,,3043.943394350635,
0,168,,3052.2927312305433,
0,169,,3060.6420646052206,
0,170,,3068.991394474667,
0,171,,3077.340720838882,
0,172,,3085.6900436978667,
0,173,,3094.039363051619,
0,174,,3102.3886789001413,
0,175,,3110.7379912434326,
0,176,,3119.0873000814922,
0,177,3127.435216580655,3127.436605414321,-0.0013888336661693756
0,178,3135.786196960448,3135.785907241919,0.000289718528620142
0,179,3144.136142214822,3144.1352055642865,0.0009366505355501431
