Planet Number,Epoch,0.5,0.16,0.84,0.005,0.995
1,0,1658.7178818560205,1658.7674054610543,1658.627291744575,1658.8469240022823,
1,1,1662.7874098056927,1662.8337513417937,1662.7342013642192,1662.9101704210043,
1,2,1666.8499006549828,1666.902651233133,1666.7400492550805,1666.9852754925378,
1,3,1670.9283374841325,1670.9744548019953,1670.8621337441728,1671.0228239181451,
1,4,1674.991942269262,1675.040281851776,1674.9316299781203,1675.097979512997,
1,5,1679.0581814874895,1679.0996599202044,1679.0118109998293,1679.1884265011176,
1,18,1731.9410486677662,1731.9444357776083,1731.9376003467478,1731.9472069558688,
1,93,2037.9427678324282,2037.9454063582234,2037.9405792481266,2037.947899974417,
1,94,2042.0084318239242,2042.012195091229,2042.0058336062357,2042.0153141152114,
1,95,2046.0735807637684,2046.0763347963803,2046.0711221783422,2046.078736695461,
1,96,2050.1451148302294,2050.1478924942203,2050.14288071543,2050.149546635803,
1,97,2054.2166082905605,2054.219353793189,2054.2137233153917,2054.2208716170862,
1,98,2058.2904058564454,2058.292754052207,2058.2882770970464,2058.2947131320834,
1,176,2376.5065730740316,2376.510826941114,2376.500847902149,2376.513599478174,
1,178,2384.658999139443,2384.6618523569778,2384.656496953685,2384.663750922773,
1,189,2429.5447189430706,2429.5504305767827,2429.5383881628513,2429.5543087851256,
1,190,2433.632300348021,2433.636506916955,2433.62852705922,2433.639830462169,
1,191,2437.7152737104334,2437.7196561954916,2437.7120946561918,2437.7234557489865,
